name,image_url
אאונים הוורתים 2,/static/image/אאונים_הוורתים_2.jpg
אאונים הוורתים 3,/static/image/אאונים_הוורתים_3.jpg
אאונים הוורתים 4,/static/image/אאונים_הוורתים_4.jpg
אאונים הוורתים 5,/static/image/אאונים_הוורתים_5.jpg
אאונים הוורתים,/static/image/אאונים_הוורתים.jpg
אבוקדו,/static/image/אבוקדו.jpg
אגבה רכה,/static/image/אגבה_רכה.jpg
אורגנו,/static/image/אורגנו.jpg
אכבריה אלגנס 2,/static/image/אכבריה_אלגנס_2.jpg
אכבריה אלגנס,/static/image/אכבריה_אלגנס.jpg
אלווי נמוך,/static/image/אלווי_נמוך.jpg
אלוורה 2,/static/image/אלוורה_2.jpg
אלוורה מנומרת,/static/image/אלוורה_מנומרת.jpg
אלוורה,/static/image/אלוורה.jpg
אפיפילום אוקסיפטלום,/static/image/אפיפילום_אוקסיפטלום.jpg
בגוניה תמימה,/static/image/בגוניה_תמימה.jpg
בפורמי,/static/image/בפורמי.jpg
בפפורמיה,/static/image/בפפורמיה.jpg
בפפרומיה אובטוספלויה,/static/image/בפפרומיה_אובטוספלויה.jpg
גסטריה,/static/image/גסטריה.jpg
גרניום לימוני,/static/image/גרניום_לימוני.jpg
דלוספרמה אכינאטום,/static/image/דלוספרמה_אכינאטום.jpg
דרצנה אנגוסטיפוליה,/static/image/דרצנה_אנגוסטיפוליה.jpg
הוורניה מקרוקרפה,/static/image/הוורניה_מקרוקרפה.jpg
הוורתיה טרונקטה,/static/image/הוורתיה_טרונקטה.jpg
הוורתיה קימביפורמיס,/static/image/הוורתיה_קימביפורמיס.jpg
הוורתיה,/static/image/הוורתיה.jpg
היביסקוס סיני,/static/image/היביסקוס_סיני.jpg
ורד החול,/static/image/ורד_החול.jpg
ורד מבוגר ורד,/static/image/ורד_מבוגר_ורד.jpg
ורד מבוגר ורודבהיר4,/static/image/ורד_מבוגר_ורודבהיר4.jpg
ורד מבוגר צהוב,/static/image/ורד_מבוגר_צהוב.jpg
ורד קארו,/static/image/ורד_קארו.jpg
חלבלוב אלווד,/static/image/חלבלוב_אלווד.jpg
חלבלוב רותמי 2,/static/image/חלבלוב_רותמי_2.jpg
חלבלוב רותמי,/static/image/חלבלוב_רותמי.jpg
טרדסקנטיה סילמונטנה,/static/image/טרדסקנטיה_סילמונטנה.jpg
מרווה רפואית,/static/image/מרווה_רפואית.jpg
נדונית,/static/image/נדונית.jpg
ניצנית 2,/static/image/ניצנית_2.jpg
ניצנית לבידה,/static/image/ניצנית_לבידה.jpg
ניצנית משוננת,/static/image/ניצנית_משוננת.jpg
ניצנית,/static/image/ניצנית.jpg
נצחה שיחית 2,/static/image/נצחה_שיחית_2.jpg
נצחה שיחית 3,/static/image/נצחה_שיחית_3.jpg
נצחה שיחית,/static/image/נצחה_שיחית.jpg
סדום אדולפי 2,/static/image/סדום_אדולפי_2.jpg
סדום אדולפי,/static/image/סדום_אדולפי.jpg
סוקולנט  אורבאה,/static/image/סוקולנט_אורבאה.jpg
סוקולנט אורבאה,/static/image/סוקולנט_אורבאה.jpg
סוקולנט שיח סביון,/static/image/סוקולנט_שיח_סביון.jpg
סוקולנט,/static/image/סוקולנט.jpg
סטפיליה ענקית 2,/static/image/סטפיליה_ענקית_2.jpg
סטפיליה ענקית,/static/image/סטפיליה_ענקית.jpg
סטפליה,/static/image/סטפליה.jpg
סמבוק שחוק,/static/image/סמבוק_שחוק.jpg
סמבוק שחור,/static/image/סמבוק_שחור.jpg
סנסיבריה שפית דקה,/static/image/סנסיבריה_שפית_דקה.jpg
סנסיוריה גלילית,/static/image/סנסיוריה_גלילית.jpg
סרח בוסטון 2,/static/image/סרח_בוסטון_2.jpg
סרח בוסטון,/static/image/סרח_בוסטון.jpg
עץ הקמפור החסון,/static/image/עץ_הקמפור_החסון.jpg
פיטיאה,/static/image/פיטיאה.jpg
פיטיה,/static/image/פיטיה.jpg
פיקוס גומי,/static/image/פיקוס_גומי.jpg
צירידופסיס דנטיקולטה,/static/image/צירידופסיס_דנטיקולטה.jpg
צלקנית,/static/image/צלקנית.jpg
קוטילדון אורביקולטה,/static/image/קוטילדון_אורביקולטה.jpg
קוטילון טומנטוסה,/static/image/קוטילון_טומנטוסה.jpg
קוטילון טומנתוסה,/static/image/קוטילון_טומנתוסה.jpg
קורדילין אדום,/static/image/קורדילין_אדום.jpg
קורדלין אדום,/static/image/קורדלין_אדום.jpg
קיסוס שוודי,/static/image/קיסוס_שוודי.jpg
קלנצו אורגניס,/static/image/קלנצו_אורגניס.jpg
קלנצו טומנטוסה,/static/image/קלנצו_טומנטוסה.jpg
קרסולה 2,/static/image/קרסולה_2.jpg
קרסולה מוסקוסה,/static/image/קרסולה_מוסקוסה.jpg
קרסולה סגלגלה 2,/static/image/קרסולה_סגלגלה_2.jpg
קרסולה סגלגלה 3,/static/image/קרסולה_סגלגלה_3.jpg
קרסולה סגלגלה,/static/image/קרסולה_סגלגלה.jpg
קרסולה קסקסית,/static/image/קרסולה_קסקסית.jpg
קרסולה,/static/image/קרסולה.jpg
רגלנית אפריקנית 2,/static/image/רגלנית_אפריקנית_2.jpg
רגלנית אפריקנית 3,/static/image/רגלנית_אפריקנית_3.jpg
רגלנית אפריקנית,/static/image/רגלנית_אפריקנית.jpg
רוזמרין 2,/static/image/רוזמרין_2.jpg
רוזמרין,/static/image/רוזמרין.jpg
‏‏‏‏שולחן העבודה - קיצור דרך,/static/image/‏‏‏‏שולחן_העבודה_-_קיצור_דרך.lnk
